,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
62,1057090,Ori and the Will of the Wisps,1000,0,29.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese', 'Turkish']",88,86228,3149,89377,943,937,Moon Studios GmbH,Xbox Game Studios,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Action,"Beautiful,Metroidvania,Great Soundtrack,Platformer,Action,Singleplayer,Adventure,Atmospheric,Story Rich,Cute,Exploration,Action-Adventure,Puzzle,Emotional,Difficult,Fantasy,Indie,Open World,2D,Souls-like",655
384,501080,Fishing: Barents Sea,49,0,24.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Japanese', 'Norwegian', 'Polish', 'Russian', 'Italian', 'Danish', 'Finnish', 'Portuguese - Brazil', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Hungarian', 'Korean']",69,1726,474,2200,870,1082,Misc Games,Misc Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Simulation,"Simulation,Fishing,Open World,Singleplayer,Naval,Multiplayer,Realistic,Sailing",656
815,1694420,Card Survival: Tropical Island,14,0,16.99,0,['English'],0,166,3,169,0,0,WinterSpring Games,WinterSpring Games,Single-player,"Adventure,Indie,Simulation,Strategy,Early Access","Adventure,Simulation,Card Game,Survival,Singleplayer,Crafting,Perma Death,Strategy,Early Access,Indie,Hand-drawn,Text-Based",657
1874,2108330,F1® 23,11615,0,69.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Dutch', 'Arabic']",0,770,115,885,517,707,Codemasters,Electronic Arts,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,VR Supported,Steam Workshop,Steam Cloud,Remote Play Together","Racing,Sports","VR,Racing,Driving,Sports,Multiplayer,Automobile Sim,Competitive,Singleplayer,Simulation,Relaxing,Action-Adventure,3D,e-sports,Immersive Sim,3D Platformer,Cinematic,Arcade,First-Person,PvP,PvE",658
1853,1561040,Diluvian Winds,153,0,16.19,1,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Korean', 'Portuguese - Brazil']",0,77,19,96,0,0,Alambik Studio,"Goblinz Publishing,IndieArk",Single-player,"Simulation,Strategy,Early Access","Early Access,Turn-Based,Rogue-like,City Builder,Colony Sim,Strategy,Management,Base-Building,Resource Management,Survival,Simulation,Colorful,2D,Singleplayer,Post-apocalyptic,Nature,Building,Hand-drawn,Sandbox,Atmospheric",659
2199,1240060,A Highland Song,43,0,16.19,1,['English'],0,101,4,105,0,0,inkle Ltd,inkle Ltd,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Indie","Exploration,2D Platformer,Nature,Dynamic Narration,Story Rich,Female Protagonist,Choices Matter,Atmospheric,Adventure,Platformer,Hand-drawn,Singleplayer,2D,Multiple Endings,Narration,Narrative,Open World,Indie,Rhythm,Music-Based Procedural Generation",660
1197,420530,OneShot,82,0,9.99,2,"['English', 'Japanese', 'French', 'Spanish - Spain', 'Portuguese - Brazil', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",80,29225,535,29760,334,300,Future Cat LLC,Komodo,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie","Story Rich,Pixel Graphics,Great Soundtrack,Indie,Cute,Atmospheric,Choices Matter,Singleplayer,Puzzle,Adventure,Multiple Endings,RPGMaker,2D,Surreal,RPG,Replay Value,Exploration,Casual,Psychological Horror,Anime",661
1119,1465070,Legendary Tales,61,0,34.99,0,['English'],0,1202,256,1458,871,1210,Urban Wolf Games Inc.,Urban Wolf Games Inc.,"Single-player,Multi-player,Co-op,Online Co-op","Action,Adventure,Indie,RPG,Simulation,Early Access","VR,Online Co-Op,Gore,Swordplay,Action,Medieval,Fantasy,Magic,Adventure,Action RPG,Dark Fantasy,RPG,Combat,Action-Adventure,Souls-like,Dungeon Crawler,PvE,Early Access,Indie,Simulation,VR Only",662
1656,1846380,Need for Speed™ Unbound,13699,0,69.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",0,1929,564,2493,647,907,Criterion Games,Electronic Arts,"Single-player,Multi-player,PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support","Action,Racing","Racing,Action,Multiplayer,Character Customization,Singleplayer,Combat Racing,Open World,Driving,Anime,Arcade,Casual,Controller,Online Co-Op,Adventure,Music,Simulation,Atmospheric,Split Screen,Immersive,Sports",663
1065,254700,Resident Evil 4,1514,16,19.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Italian']",79,43939,4257,48196,826,349,Capcom,Capcom,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","Action,Adventure","Inventory Management,Survival Horror,Action,Zombies,Horror,Third-Person Shooter,Singleplayer,Adventure,Classic,Third Person,Quick-Time Events,Atmospheric,Survival,Shooter,Gore,Remake,Replay Value,Great Soundtrack,Difficult,Multiplayer",664
597,476600,Call of Duty®: WWII,773,17,59.99,3,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",0,21294,11381,32675,402,329,"Sledgehammer Games,Raven Software",Activision,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Remote Play on TV",Action,"World War II,FPS,Multiplayer,War,Zombies,Singleplayer,Action,Shooter,First-Person,Co-op,Violent,Gore,Historical,Story Rich,Psychological Horror,Horror,Massively Multiplayer,Open World,Female Protagonist,Heist",665
1761,1985810,Call of Duty®: Black Ops Cold War,1642,18,29.99,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",0,486,164,650,193,193,"Treyarch,Raven Software,High Moon Studios,Beenox,Activision Shanghai,Sledgehammer Games",Activision,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases",Action,"Action,FPS,Shooter,Zombies,First-Person,Military,Tactical,PvP,Gun Customization,Co-op,Multiplayer,PvE,Gore,Violent,Singleplayer,Online Co-Op,Cold War",666
659,107410,Arma 3,19634,17,29.99,18,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",74,204969,21853,226822,12276,1239,Bohemia Interactive,Bohemia Interactive,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Steam Leaderboards,Includes level editor","Action,Simulation,Strategy","Action,Military,Multiplayer,Simulation,Shooter,Realistic,First-Person,Open World,Tactical,FPS,War,Co-op,Strategy,Sandbox,Moddable,Combat,Singleplayer,Online Co-Op,Team-Based,Third-Person Shooter",667
