,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
380,751440,VR Kanojo / VRカノジョ,13,0,49.99,0,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']",0,1303,406,1709,219,217,ILLUSION,ILLUSION,"Single-player,Full controller support",Adventure,"Sexual Content,Nudity,VR,Mature,Hentai,Anime,Dating Sim,NSFW,First-Person,Realistic,Adventure,Simulation,Cute,Singleplayer,3D,Shooter,Story Rich,Romance,Free to Play,Visual Novel",846
1858,1730700,We Love Katamari REROLL+ Royal Reverie,735,0,29.99,1,"['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",0,245,8,253,183,183,MONKEYCRAFT Co. Ltd.,Bandai Namco Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,"Action,3D,Singleplayer,Third Person,Cute,Funny,Space,Controller,Local Multiplayer,Great Soundtrack,Cult Classic,Colorful,Surreal",847
174,1879330,WARRIORS OROCHI 3 Ultimate Definitive Edition,2129,0,39.99,0,"['English', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",0,494,68,562,0,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Strategy","Action,Strategy,Adventure,Hack and Slash,Fantasy,Singleplayer,Multiplayer,PvP,Local Multiplayer,Co-op,Local Co-Op,Musou,Anime",848
2011,2022670,SONIC SUPERSTARS,63,0,59.99,5,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Polish', 'Portuguese - Brazil', 'Russian']",0,1318,551,1869,0,0,SEGA,SEGA,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together",Action,"Action,Platformer,Adventure,2D Platformer,Casual,Action-Adventure,2D,Colorful,Cartoon,Singleplayer,Fast-Paced,Atmospheric,Multiplayer,Great Soundtrack,Local Multiplayer,4 Player Local,Local Co-Op,Family Friendly,Retro,2.5D",849
1237,1404850,Luck be a Landlord,201,0,9.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Japanese', 'Korean', 'Polish', 'Spanish - Latin America', 'Traditional Chinese', 'Portuguese']",0,5260,370,5630,519,378,TrampolineTales,TrampolineTales,"Single-player,Steam Trading Cards,Steam Workshop,Steam Cloud","Indie,Simulation,Strategy,Early Access","Roguelike Deckbuilder,Deckbuilding,Procedural Generation,Rogue-lite,Strategy,Simulation,Auto Battler,Resource Management,Rogue-like,Pixel Graphics,Capitalism,Management,Casual,Gambling,Singleplayer,2D,Early Access,Indie,Retro,Villain Protagonist",850
582,375910,Anno 2205™,141,0,39.99,4,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian']",72,3546,1540,5086,1365,1596,Blue Byte,Ubisoft,"Single-player,Steam Achievements,Steam Trading Cards","Simulation,Strategy","Strategy,City Builder,Simulation,Futuristic,Sci-fi,Economy,Singleplayer,Space,Management,Resource Management,RTS,Building,Multiplayer,Great Soundtrack,Sandbox,Base-Building,Casual,4X,Illuminati,Open World",851
1679,1585220,Melatonin,133,0,13.49,0,['English'],81,220,6,226,22,44,Half Asleep,Half Asleep,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Includes level editor,Remote Play on TV","Action,Indie","Indie,Rhythm,Action,Hand-drawn,Colorful,2D,Cute,Puzzle,Surreal,Singleplayer,Comedy,Arcade,Score Attack,Controller,Music-Based Procedural Generation,Music",852
1228,1737690,Yacht Dice 快艇骰子,5,0,0.99,0,"['English', 'Simplified Chinese', 'German']",0,42,12,54,0,0,GoodOldMan Studio,GoodOldMan Studio,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen,Steam Achievements,Steam Cloud,Stats,Remote Play Together","Casual,Indie,Simulation,Strategy","Casual,Simulation,Indie,Multiplayer,PvP,Relaxing,Funny,Tabletop,Board Game,3D,Strategy,Physics,Turn-Based Tactics,Turn-Based Strategy,Colorful,Stylized",853
434,400,Portal,588,0,9.99,1,"['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean']",90,108353,1715,110068,484,168,Valve,Valve,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together",Action,"Puzzle,Puzzle-Platformer,First-Person,3D Platformer,Singleplayer,Sci-fi,Comedy,Female Protagonist,Action,Funny,Physics,Story Rich,Classic,Platformer,Science,Atmospheric,FPS,Short,Adventure,Dark Humor",854
449,626610,TT Isle of Man Ride on the Edge,14,0,19.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian']",68,838,343,1181,438,746,KT Racing,Nacon,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together","Racing,Simulation","Simulation,Racing,Motorbike,Multiplayer,Sports,Singleplayer",855
2223,2373390,VVAV ONE,0,0,14.99,0,"['English', 'Japanese', 'Korean']",0,0,0,0,0,0,SINKERSIX Inc.,SINKERSIX Inc.,"Single-player,Multi-player,PvP,Online PvP","Action,Casual,Sports,Early Access","Action,Casual,Sports,Early Access",856
745,473950,Manifold Garden,17,0,19.99,1,"['English', 'French', 'Italian', 'German', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']",85,3275,129,3404,169,195,William Chyr Studio,William Chyr Studio,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Adventure,Indie","Puzzle,Surreal,Abstract,First-Person,Exploration,Experimental,Puzzle-Platformer,Psychedelic,Philosophical,Difficult,Minimalist,Atmospheric,Nonlinear,Relaxing,Mystery,Indie,Adventure,Singleplayer,Colorful,Multiple Endings",857
1102,976590,Bus Simulator 21,137,0,34.99,8,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Japanese', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Turkish', 'Simplified Chinese']",73,1785,836,2621,1961,2019,stillalive studios,astragon Entertainment,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Simulation,"Simulation,Automobile Sim,Immersive Sim,3D,Realistic,Colorful,First-Person,Driving,Third Person,Family Friendly,Modern,Relaxing,Character Customization,Controller,Open World,Multiplayer,Co-op,Online Co-Op,Singleplayer,Management",858
780,1656780,Hero's Hour,201,0,17.99,2,"['English', 'Spanish - Spain', 'French', 'German', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",0,2080,593,2673,924,1531,Benjamin ThingOnItsOwn Hauer,"Goblinz Publishing,Maple Whispering Limited","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Workshop,Steam Cloud,Stats,Includes level editor,Remote Play Together","Indie,RPG,Strategy","Local Co-Op,Strategy,Auto Battler,Pixel Graphics,Turn-Based Strategy,Fantasy,RPG,Turn-Based Tactics,Multiplayer,Procedural Generation,Singleplayer,2D,Tactical,Level Editor,Strategy RPG,PvP,Atmospheric,4X,Turn-Based,Grand Strategy",859
475,1314000,Achilles: Legends Untold,3,0,15.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Italian', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese']",0,223,95,318,0,0,Dark Point Games,Dark Point Games,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support,Steam Cloud","Action,Indie,RPG,Early Access","Early Access,Action-Adventure,Souls-like,Mythology,Isometric,Online Co-Op,Co-op,Action,RPG,Action RPG,3D,2.5D,Singleplayer,Multiplayer,Realistic,Artificial Intelligence,Swordplay,Character Customization,Combat,Story Rich",860
1188,1685750,Capcom Fighting Collection,90,0,39.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",0,307,27,334,17,20,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Remote Play Together",Action,"Action,Arcade,2D Fighter,Puzzle,2D,Pixel Graphics,1990's,PvP,Singleplayer,Multiplayer,Fighting,Retro",861
1008,436150,Governor of Poker 3,1287,0,0.0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Dutch', 'Polish', 'Arabic', 'Portuguese', 'Simplified Chinese', 'Spanish - Latin America', 'Norwegian', 'Romanian', 'Swedish', 'Thai', 'Traditional Chinese']",0,7013,2967,9980,1171,97,"Azerion,YoudaGames","Azerion,Youda Games Holding B.V.","Multi-player,MMO,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases","Casual,Free to Play,Massively Multiplayer,Simulation","Gambling,Card Game,Sports,Free to Play,Multiplayer,Character Customization,Massively Multiplayer,Strategy,Western,Relaxing,Team-Based,Conversation,Resource Management,Casual,Simulation,PvP,Cartoony,Gaming,Family Friendly,Party",862
1516,323220,Vagante,102,0,14.99,1,['English'],0,3469,391,3860,1148,669,Nuke Nine,Nuke Nine,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Steam Cloud,Remote Play Together","Action,Adventure,Indie,RPG","Rogue-lite,Action Roguelike,Pixel Graphics,RPG,Roguevania,Rogue-like,Indie,Adventure,Platformer,Online Co-Op,Action,2D,Multiplayer,Difficult,Procedural Generation,Local Co-Op,4 Player Local,Perma Death,Co-op,Metroidvania",863
1052,463530,Empires of the Undergrowth,317,0,19.99,0,"['English', 'German', 'Simplified Chinese', 'Spanish - Spain', 'Russian']",0,6149,336,6485,1629,1971,Slug Disco Studios,Slug Disco Studios,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Indie,Simulation,Strategy,Early Access","Colony Sim,Strategy,Base-Building,RTS,God Game,Nature,Management,Resource Management,Simulation,City Builder,Life Sim,Realistic,Science,Indie,Sci-fi,Singleplayer,Great Soundtrack,Dark Humor,Early Access,Documentary",864
1307,785790,WHAT THE GOLF?,10,0,19.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Turkish', 'Dutch', 'Swedish']",83,2227,137,2364,324,457,Triband,Triband,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together","Action,Adventure,Casual,Indie,Simulation","Memes,Comedy,Physics,Indie,Funny,Cute,Stylized,Casual,Singleplayer,Simulation,Satire,Action,Colorful,Level Editor,Local Multiplayer,Parody,Mini Golf,Puzzle,Adventure,Action-Adventure",865
1969,2273430,BlazBlue Entropy Effect,854,0,19.99,0,"['Simplified Chinese', 'English', 'Japanese']",0,2371,391,2762,510,693,91Act,91Act,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure,Indie,Early Access","Early Access,Action Roguelike,Action-Adventure,Platformer,Metroidvania,Pixel Graphics,Replay Value,Procedural Generation,Action,2D,Indie,Rogue-lite,Beat 'em up,Cyberpunk,Post-apocalyptic,Story Rich,Multiple Endings,Rogue-like,2D Fighter,Roguevania",866
1451,250180,METAL SLUG 3,38,0,7.99,0,"['English', 'French', 'Japanese', 'Italian', 'Spanish - Spain', 'Korean', 'Simplified Chinese']",0,6595,763,7358,192,106,"SNK CORPORATION,Dotemu",SNK CORPORATION,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Action,"Arcade,Classic,Action,Co-op,Side Scroller,Retro,Local Co-Op,Shooter,2D,Online Co-Op,Great Soundtrack,Platformer,Shoot 'Em Up,Multiplayer,Pixel Graphics,Old School,Difficult,Singleplayer,Comedy,Nostalgia",867
280,680420,OUTRIDERS,3710,17,39.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Japanese']",0,37517,19753,57270,3009,1901,People Can Fly,Square Enix,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,RPG","Looter Shooter,RPG,Action,Third-Person Shooter,Co-op,Adventure,Multiplayer,Loot,Shooter,Singleplayer,Gore,Sci-fi,Online Co-Op,Violent,Open World,Third Person,Character Customization,Post-apocalyptic,Sexual Content,Story Rich",868
595,668550,8Doors: Arum's Afterlife Adventure,22,0,19.99,2,"['Korean', 'English', 'Simplified Chinese', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Portuguese - Brazil', 'French']",0,556,159,715,0,0,Rootless Studio,NEOWIZ,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Indie","Indie,Action,Adventure,Metroidvania,Platformer,Action-Adventure,Hand-drawn,2D,Side Scroller,Exploration,Singleplayer,Difficult,Cute,Story Rich,Female Protagonist,Multiple Endings,Great Soundtrack,Emotional",869
168,1451940,NEEDY STREAMER OVERLOAD,190,0,15.99,1,"['English', 'Japanese', 'Simplified Chinese', 'Korean', 'Traditional Chinese']",0,12903,678,13581,207,153,"WSS playground,xemono",WSS playground,"Single-player,Steam Achievements",Simulation,"Psychological Horror,Visual Novel,Anime,Cute,Pixel Graphics,Sexual Content,Point & Click,2D,Choose Your Own Adventure,Psychological,Psychedelic,Adventure,Colorful,Dark Humor,Multiple Endings,Story Rich,Text-Based,Singleplayer,Conversation,Simulation",870
21,1348390,I am an Air Traffic Controller 4,24,0,59.99,3,['English'],0,236,44,280,0,0,TechnoBrain,TechnoBrain,Single-player,Simulation,"Simulation,Flight,Management,Real Time Tactics,Transportation,Automobile Sim,Jet,Singleplayer,3D,Realistic,Top-Down,Tutorial,Atmospheric,Choices Matter,Beautiful,Puzzle-Platformer,RTS",871
1032,1157390,King Arthur: Knight's Tale,570,0,44.99,1,"['English', 'French', 'German', 'Spanish - Spain', 'Hungarian', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",0,2703,582,3285,4347,5233,NeocoreGames,NeocoreGames,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards","RPG,Strategy","Tactical RPG,Turn-Based Tactics,Dark Fantasy,RPG,Turn-Based Combat,Choices Matter,Grid-Based Movement,Rogue-lite,Singleplayer,PvE,Strategy,Turn-Based,Strategy RPG,Turn-Based Strategy,Medieval,3D,Base-Building,CRPG,Isometric,Mythology",872
61,1555110,Chasing Tails ~A Promise in the Snow~,6,0,7.99,3,"['English', 'German', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Russian', 'Portuguese - Brazil', 'Korean']",0,536,29,565,162,162,"the last evil wizard,FCD Games",FCD Games,"Single-player,Steam Achievements,Steam Trading Cards",Adventure,"Sexual Content,Nudity,Hentai,Visual Novel,LGBTQ+,Anime,Female Protagonist,NSFW,Mature,Cute,Romance,Horror,Comedy,Psychological Horror,Story Rich,Snow,Drama,Choices Matter,Singleplayer,Adventure",873
1667,736820,Knights of Honor II: Sovereign,5639,0,39.59,1,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Korean', 'Polish', 'Russian', 'Turkish', 'Hindi', 'Indonesian']",0,855,322,1177,541,843,Black Sea Games,THQ Nordic,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud","Simulation,Strategy","Strategy,Simulation,Medieval,RTS,Grand Strategy,Historical",874
516,444090,Paladins®,10126,0,0.0,8,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Turkish', 'Portuguese - Brazil', 'Japanese']",83,280999,47510,328509,2506,459,Evil Mojo Games,Hi-Rez Studios,"Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Remote Play on Phone,Remote Play on Tablet","Action,Free to Play","Hero Shooter,Free to Play,Multiplayer,FPS,Shooter,Action,Team-Based,First-Person,PvP,MOBA,Online Co-Op,Fantasy,Strategy,Co-op,Early Access,Massively Multiplayer,Funny,Adventure,Survival,Anime",875
138,1105510,Yakuza 5 Remastered,268,17,19.99,0,"['English', 'Japanese', 'Traditional Chinese', 'Korean']",0,2391,231,2622,2398,3756,Ryu Ga Gotoku Studio,SEGA,"Single-player,Steam Achievements,Full controller support","Action,Adventure","Action,Adventure,Open World,Beat 'em up,RPG,Action RPG,Crime,Third Person,Drama,Story Rich,Comedy,JRPG,Violent,Funny,Sexual Content,Singleplayer,Anime,Combat,Great Soundtrack,Rhythm",876
1216,1101790,War Mongrels,21,0,44.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Korean', 'Turkish', 'Traditional Chinese']",0,614,315,929,56,56,Destructive Creations,"Destructive Creations,Surefire.Games,DMM Games - Asia","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Cloud","Action,Adventure,Strategy","Real Time Tactics,Strategy,Action,Adventure,Isometric,RTS,World War II,Realistic,War,Inventory Management,Linear,Narration,Stealth,Story Rich,Co-op,Online Co-Op,Multiplayer,Singleplayer,Dark,Violent",877
1326,1144970,Necronator: Dead Wrong,3,0,19.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Korean', 'Portuguese - Brazil']",66,329,129,458,70,70,Toge Productions,Modern Wolf,"Single-player,Steam Achievements,Steam Workshop,Steam Cloud","Action,Casual,Indie,Strategy","Real Time Tactics,Tower Defense,Cute,Card Battler,Rogue-lite,RTS,Dungeon Crawler,Casual,Card Game,Strategy,Villain Protagonist,Rogue-like,Funny,Isometric,Deckbuilding,Action,Pixel Graphics,Moddable,Fantasy,Magic",878
705,346010,Besiege,424,0,14.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Italian', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish']",0,42123,1936,44059,556,191,Spiderling Studios,Spiderling Studios,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Steam Workshop,Includes level editor,Remote Play on Tablet","Indie,Simulation","Building,Sandbox,Physics,Destruction,Puzzle,Medieval,Simulation,Multiplayer,Strategy,Science,Third Person,Vehicular Combat,Relaxing,Dark Humor,Singleplayer,Funny,Open World,LEGO,Co-op,Level Editor",879
809,374040,Portal Knights,275,0,19.99,12,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Finnish', 'Japanese', 'Korean', 'Norwegian', 'Simplified Chinese', 'Swedish', 'Polish', 'Turkish', 'Czech', 'Thai']",72,16495,3372,19867,1312,522,Keen Games,505 Games,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play on Tablet,Remote Play Together","Action,Adventure,RPG","Adventure,Sandbox,Multiplayer,RPG,Building,Crafting,Survival,Co-op,Action,Exploration,Singleplayer,Fantasy,Voxel,Casual,Early Access,Cute,Dungeon Crawler,Third Person,Great Soundtrack,Local Co-Op",880
156,289650,Assassin's Creed® Unity,960,17,29.99,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Dutch']",0,36075,11764,47839,1958,803,Ubisoft,Ubisoft,"Single-player,Multi-player,Co-op,In-App Purchases,Partial Controller Support","Action,Adventure","Open World,Parkour,Assassin,Stealth,Historical,Co-op,Action,Adventure,Multiplayer,Third Person,Online Co-Op,Atmospheric,Singleplayer,Story Rich,Great Soundtrack,RPG,Action RPG,Sandbox,Tactical,Simulation",881
424,977400,Cell to Singularity - Evolution Never Ends,1346,0,0.0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese', 'Russian', 'Italian', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Arabic', 'Ukrainian', 'Thai', 'Turkish', 'Vietnamese']",0,13520,1432,14952,0,0,Computer Lunch,Computer Lunch,"Single-player,Steam Achievements,In-App Purchases,Partial Controller Support,Steam Cloud","Casual,Free to Play,Simulation","Clicker,Free to Play,Simulation,Science,Casual,Historical,Idler,Early Access,Singleplayer,Education,Dinosaurs,God Game,Space,Sci-fi,Sandbox,Point & Click,Multiplayer",882
808,250320,The Wolf Among Us,106,17,14.99,0,['English'],85,27797,653,28450,506,506,Telltale,Telltale,"Single-player,Steam Achievements,Full controller support,Remote Play on TV","Action,Adventure,Casual","Adventure,Detective,Story Rich,Episodic,Point & Click,Noir,Mature,Choose Your Own Adventure,Comic Book,Singleplayer,Atmospheric,Mystery,Cinematic,Dark,Well-Written,Fantasy,Quick-Time Events,Choices Matter,Great Soundtrack,Nudity",883
64,1286830,STAR WARS™: The Old Republic™,6502,0,0.0,1,"['English', 'French', 'German']",85,39819,4369,44188,1168,384,BioWare,Electronic Arts,"Multi-player,MMO,PvP,Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","Free to Play,Massively Multiplayer,RPG","Free to Play,Multiplayer,Character Customization,MMORPG,Open World,RPG,Story Rich,Massively Multiplayer,Sci-fi,Choices Matter,Adventure,Action,Space,Third Person,PvP,Atmospheric,Action RPG,Party-Based RPG,Great Soundtrack,CRPG",884
2125,1687000,Fading Afternoon,20,0,19.99,0,"['English', 'Russian', 'Simplified Chinese', 'Japanese', 'Spanish - Latin America', 'Portuguese - Brazil', 'Korean', 'French']",0,479,100,579,294,439,yeo,"yeo,IndieArk","Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,Indie,RPG","Side Scroller,Beat 'em up,Sandbox,Martial Arts,Life Sim,RPG,2D,Story Rich,Multiple Endings,Open World,Indie,Adventure,Pixel Graphics,Action,Anime,Atmospheric,Drama,Crime,1980s,Old School",885
715,354160,WRC 5 FIA World Rally Championship,12,0,9.99,4,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese', 'Russian']",65,458,273,731,256,256,KT Racing,Nacon,"Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV",Racing,"Racing,Automobile Sim,Simulation,Multiplayer,Offroad,Arcade,Driving,Singleplayer",886
1979,1931730,Fort Solis,45,0,24.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil']",0,444,182,626,0,0,"Fallen Leaf,Black Drakkar Games",Dear Villagers,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Adventure,"Walking Simulator,Adventure,Indie,Thriller,Cinematic,Exploration,Quick-Time Events,Interactive Fiction,Singleplayer,Atmospheric,Third Person,Linear,Mars,Narration,Story Rich,Realistic,Sci-fi,Space,Drama,Narrative",887
1750,1196090,Scars Above,220,0,33.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",72,172,51,223,0,0,Mad Head Games,Prime Matter,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure","Action,Adventure,Female Protagonist,Singleplayer,Exploration,Third-Person Shooter,Sci-fi,Horror,Shooter,Action-Adventure,Third Person,3D,Aliens,Difficult,Souls-like,Mystery,Space",888
1856,482400,System Shock,3757,0,39.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Portuguese - Brazil']",0,2278,174,2452,573,663,Nightdive Studios,Prime Matter,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure","Action,Adventure,Immersive Sim,Cyberpunk,Sci-fi,Remake,Horror,FPS,Atmospheric,Singleplayer,Space,First-Person,Gore,Shooter,Survival Horror,RPG,Story Rich,Violent,Kickstarter,Survival",889
1128,647830,LEGO® Marvel Super Heroes 2,265,0,19.99,11,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Danish', 'Dutch', 'Korean', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Polish', 'Japanese']",0,5534,845,6379,654,421,"TT Games,Feral Interactive (Mac)","Warner Bros. Interactive,Feral Interactive (Mac)","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Action,"LEGO,Multiplayer,Superhero,Open World,Action,Co-op,Adventure,Local Co-Op,Funny,Family Friendly,Singleplayer,Comedy,Character Customization,Action-Adventure,Controller,Sandbox,Heist,Story Rich,Comic Book,Puzzle",890
1834,1940340,Darkest Dungeon® II,20971,0,39.99,1,"['English', 'French', 'Italian', 'German', 'Czech', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Japanese', 'Korean', 'Simplified Chinese', 'Ukrainian']",0,3265,1058,4323,998,1015,Red Hook Studios,Red Hook Studios,"Single-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Strategy","Turn-Based Tactics,Dark Fantasy,Rogue-lite,Dungeon Crawler,Lovecraftian,CRPG,Singleplayer,Perma Death,Story Rich,2D,Hand-drawn,Turn-Based,Procedural Generation,Rogue-like,Gothic,Party-Based RPG,Turn-Based Strategy,RPG,Turn-Based Combat,Stylized",892
